tweet,Positive,Negative,Neutral
  where the bitches at   yeah where they at  i dont know they probably at that party ,0.236,0.188,0.577
 i got the giggles because im a fag i aint gon lie lol ,0.126,0.382,0.492
   you a  need to lock yo ass up for sayin some stupid shit like that,0.109,0.457,0.435
 no one likes i n d i r e c t ass  ,0.295,0.6,0.105
 my lakers are going to be so trash this season i cant wait  ,0.0,0.0,1.0
 boyfriends thatll eat yo pussy all day long ur da real mvp  ,0.0,0.0,1.0
 how you make a salad and have no vegetables on the bitch give me a break  potato salad,0.0,0.3,0.7
 im so happy in the morning after i shave my pussy cuteness always sets me up for a good  need some dick,0.346,0.112,0.543
 i be laughing when my ex be tryna stunt bitch you forgot i went with you i know what you got amp dont got ,0.123,0.146,0.731
 wish tonight was purge so i can get to  shut yo hoe ass up,0.157,0.203,0.64
 what if i tell yall im trying to turn up for bayou classic drinker  bitch you got the id,0.0,0.183,0.817
  lol i  rose been dat nicca   never  yee i was trippin,0.259,0.0,0.741
 looking at nip rings i cant wait until i can change mine   lmao,0.281,0.0,0.719
  happy new year  check yo clock hun we got another hour  just did the lil count down thing,0.179,0.0,0.821
 bitch gotta work all hard to clean that shit without ripping her  lmaosjdusubejs,0.132,0.429,0.439
 my friends are some insensitive bitches ,0.261,0.487,0.252
 im tryna get some snow day dick  make a nicca have a wreck out there tryn pull up on ya ,0.0,0.279,0.721
 like why tf is this bitch following me ,0.192,0.346,0.462
 voiceofdstreetz cuz you a hoe  cuz you went on your lil rant on me man,0.0,0.156,0.844
 voiceofdstreetz that wasnt me hoe azz  im sniff sniff  sorry sniff sniff ,0.0,0.106,0.894
 satisfiedx  what u did mr   stop calling me that but i balled,0.0,0.151,0.849
 ion eat cat   what you gay for then,0.0,0.0,1.0
  iont got not type  bad bitches is the only thing that i   throw that ass in a sphere ,0.267,0.156,0.578
 niggas is hoes man i ,0.0,0.444,0.556
 this hoe mimi said i hurt my hand  bitch her throat ,0.184,0.414,0.402
  dis hoe bri will fuck up a wet  pop up in the dream like ,0.25,0.194,0.556
 voiceofdstreetz u a hoe broski u gotta look at dat ,0.0,0.0,1.0
 lil bitty  ,0.0,0.0,1.0
 shawty wanna charge for pussy but im like whoa  turnt her on to cash she use to fuck for free,0.261,0.161,0.577
 victor amp shawn legs dont hurt they jigg every damn night ,0.192,0.187,0.622
 lol someone told me i had hoes so i sent them  ,0.259,0.0,0.741
 bitch im weakkk vic ,0.0,0.559,0.441
 fuck the girls  peep how he change when a nigga squared up against him    bitch ass,0.0,0.474,0.526
 nobody cares about kirk bosley  care bout my cousin hoe,0.437,0.0,0.563
 men hop in they feelings much quicker than  not me  i hop in ya bitch,0.0,0.226,0.774
 bitch im on bitch im on my  thug luuuuuuv,0.0,0.521,0.479
 my phone charging backwards  retarded,0.0,0.481,0.519
 i want some pussy ,0.394,0.0,0.606
 thekaosyatti fb hoe  next time be nicer  lmfao,0.516,0.0,0.484
 right rt kingdominicus idk which one was selling pussy for  but  way too high for them ,0.0,0.074,0.926
 thompsonera ahhh you know who so smart donny  but yes rt  im glad you speak your mind to these  hoes,0.366,0.0,0.634
 gave that bitch a bib since she wanna act ,0.0,0.352,0.648
 im more excited about boosie getting out than valentines  get vday pussy allstar weeekend pussy and mardi gras,0.137,0.0,0.863
 i dont like popeyes spicy chicken  them bitches be on  boa you trippen,0.0,0.375,0.625
  i wonder if i  oomf i be like i want fuck would i be wrong or  you a be one brave as  day ,0.279,0.256,0.465
 its so wonderful when you meet a dude thats not a bitch ass nigga these days  ,0.474,0.0,0.526
  tonyjetsfoo yeah he lowkey loves me he knows hes ma nigga  dont love these hoes,0.277,0.158,0.564
 im  much for these niggas and  much for these hoes ,0.0,0.211,0.789
 jordyn stays making fun of how i eat like a little bitch,0.356,0.215,0.429
 he did go in i was actually surprised he when that hard rt  n the crib listen  my nig  diss my homie,0.089,0.066,0.845
 you aint special niglet rt  when im chilling wit greg ppl walk up to me to ask me to take ,0.0,0.157,0.843
 gotta buy those antislip shoes so these hoes wont catch me ,0.0,0.0,1.0
  youre really cool youre good at basketball and your a zebra  is this ,0.365,0.0,0.635
  grow up bitch   they was cute ,0.278,0.352,0.37
 scrappy always on the reunion with hella hoes  nigga lmao,0.316,0.0,0.684
 if he has a girlfriend dont be a hoe and text him yanno who u r ,0.0,0.0,1.0
 dont really have anyone to talk to when things start going  aight hoe ass nigga,0.0,0.2,0.8
 whattheflocka morbidmermaid sydneys my  shes a nigger but i love her,0.375,0.172,0.453
  depressed but i got  ,0.0,0.518,0.482
  you still fucn ya  that bitch corny,0.0,0.388,0.612
 about to go take over the a this summer binging alll the fly bitches to bless atl  thank you ,0.219,0.161,0.62
 i never get on twitter but when i do i get in bitch fights with niggas not even females  ,0.0,0.477,0.523
   where the fuck is your top lip  in my  lilshwenda,0.135,0.263,0.602
 webbmadethis mane the skinny bitches was playin lol i had too take my weight class too another  ,0.135,0.188,0.676
  webbmadethis lemme find out you niggaz letting bitches shit on yo   niggas is weirdos,0.0,0.545,0.455
 cigarettes are so gross half the bitches that smoke cigarettes  gfys,0.0,0.467,0.533
 i hate when i attempt to make the yellow light but the car infront of me stops at the light  i be wanting to ,0.0,0.183,0.817
 i like down ,0.714,0.0,0.286
 niggas talk more then bitches these days  facts,0.0,0.523,0.477
 whatevaittakes  now bitch you know ,0.0,0.487,0.513
 fuck them texts  its a movement lmaooo  courts texting rubbed off on me  used to be bitch bout it tho ,0.0,0.3,0.7
 i need to find is both a damn job  cbmarie needs to find a bitch a ,0.0,0.394,0.606
 i dont fuck youuu u lil stupid ass bitch i aint fuckin wit you u lil dumbass bitch i aint fuckin wit  kaylamauser,0.086,0.549,0.364
 are you kidding me right now  ill smack a hoe,0.125,0.25,0.625
 im just a sarcastic lil bitch who loves to sleep and ,0.224,0.352,0.424
 these hoes aint loyal  but my fans damn sure   real,0.193,0.349,0.458
 yeah its really far and its alright if you like living by a whole lot of hicks haha,0.427,0.0,0.573
 im just a bitch ass  morbidmermaid,0.0,0.709,0.291
 i dont trust  cant trust these hoes,0.0,0.575,0.425
 satisfiedx stfunobodycare well we all know victorias secret  and we all the cocoa puff bird fucking,0.123,0.0,0.877
 paint brushes over bugattis stundentpainters  paint me like one of your french girls,0.172,0.0,0.828
 whatareollies niggah you  daaaaaaaam ,0.0,0.0,1.0
 jose is so fucking mean to me like damn bitch  fuck you,0.122,0.488,0.39
 xotavia bitch im back at home  ,0.0,0.432,0.568
 pacers nflcolts indystar chuckstrong goldswagger  thats awesome  hoosiers,0.369,0.0,0.631
 happy hour time best time of da  niggas dont know bout them happy hour hoes,0.464,0.096,0.44
 my favorite time of da day happy hour  the bad bitches come out and the ok hoes at home doing makeup,0.276,0.229,0.495
 gwyneth paltrow you ugly ass big bird looking bitch shut the fuck  ltltthats pretty much in your facebravo,0.106,0.465,0.429
 why u cant just  because we dont love these hoes,0.0,0.296,0.704
  they played a great job whos the retard ,0.468,0.245,0.288
  yall bitches be popping babies out like its a   lol,0.349,0.257,0.395
 finger a bitch w my trigger  nigga shut up,0.0,0.388,0.612
 dora amp her table manners  shes eating like a sloppy hoe,0.217,0.0,0.783
  stop being such a ,0.0,0.524,0.476
 just demolishing this huge bitch   is caring ,0.428,0.279,0.294
  just think if alex won some  that sorry son of a bitch will never win us a game,0.155,0.342,0.503
   bitches so late  ion exposed ,0.0,0.646,0.354
 i feel sorry for whoever using alyssa number to play phone games  dumb ass hoes who aint got a life,0.149,0.327,0.524
 ill be a bitch when i have to be a bitch fandomapology  preach,0.0,0.598,0.402
 bitches be set hoppin like bitch get your life for u get beat up ,0.124,0.381,0.495
 that pussy so wet she gotta dry  telling my business,0.0,0.0,1.0
 vontethekidd whens homecoming  slut the ,0.0,0.487,0.513
 asians have short beds my feet are hanging off the edge of the bed  cuddle me bitch im right beside you,0.0,0.16,0.84
   u a regular nig u played out  lol ima b ig  days that counts for somethin,0.342,0.0,0.658
 congrats to kim k this a great day for hoes ,0.58,0.0,0.42
 lol maybe i should give in nd date these hoes on  me know how that work lol,0.286,0.0,0.714
 imma pull up on you eat on that pussy and ,0.0,0.0,1.0
 if you cant get pussy without lying to a girl you  dont hate appreciate,0.32,0.125,0.555
 my daughter makes me with i wasnt a hoe from age  u on a roll tonight,0.0,0.0,1.0
 pussy prolly taste like heaven  ,0.659,0.0,0.341
 now maam   every jawn on here been tryna have they pussy cop a feel on dontes ,0.0,0.0,1.0
 you know idgaf about a womans lingerie matching when i love hairy pussy so much  ,0.259,0.0,0.741
 why you let these hoes tear what we had right ,0.0,0.0,1.0
 i just want the baddest bitch in the world right here on my   ,0.086,0.252,0.662
  pineapples on sale at  on sale  stairs,0.0,0.0,1.0
 i need ran theo and theo homie rocking the  i need some free shit or some hoes,0.166,0.181,0.653
  stills get no pussy  hes jus being  a fag,0.0,0.469,0.531
 brianlovesass what class you in right now i need my headphones for seventh period im serious bitch ,0.0,0.267,0.733
 aw omg this show made me cry  im such a pussy  really are,0.0,0.22,0.78
 brian stfu  its twitter i could retweet  make me bitch slap you again ,0.104,0.247,0.649
 i know u didnt hit that jigga with my fav purse   chill ,0.25,0.0,0.75
 fucking  fuck dat bitch,0.0,0.797,0.203
 might go to plaq  who you gone go with,0.0,0.0,1.0
 im a faggot i agree,0.316,0.557,0.127
 virgiliolla i was heartbroken tx inniz ho  haha naw chill you the one laughing at vdawg,0.362,0.179,0.458
 make the most of what you  dont tell me what to do bitch,0.0,0.241,0.759
 yankees will never have someone wear a single digit uniform again after this  wow shows that is an epic organization,0.2,0.0,0.8
 why do bitches stand like this   she wanted to be in mjs smooth criminal video so bad,0.094,0.417,0.489
 it dont matter where we at this nigga always tryna holla at a bitch   where yall at,0.0,0.258,0.742
  this bitch   huh lol,0.326,0.442,0.233
 back then hoes didnt want me now im hot they all on ,0.0,0.1,0.9
 i can believe that wiz khalifa and that one bald bitch are getting divorced ,0.0,0.241,0.759
 wccorosen sick of all the trash talk and cocky attitudes  refs have to take control when needed,0.0,0.242,0.758
  twitpic a selfie with light colored  ,0.0,0.0,1.0
 rt godofmilfs single moms got that proven  lol fckd up but truuu,0.147,0.0,0.853
 rt jonraff hate when a chick say go deeper when u already dishin out all u got  ,0.0,0.222,0.778
 bitch wanna date the flyest nigga then be shocked when he has hoes ,0.0,0.357,0.643
 ladies what if a dude put two hands in your pussy and started  lmaoo,0.0,0.0,1.0
 u get what u put in if all u offering is pussy dont be mad when all u receive is  ,0.149,0.0,0.851
 things hoes say ,0.0,0.0,1.0
 thats my fav part on take  album trash,0.3,0.0,0.7
  no one wants an ugly nigga so youve got him all to yourself no more stressing over   lies ,0.0,0.51,0.49
 whereyohussleat caymarieee yall partners in  thats my bitch she cant ride solo,0.0,0.257,0.743
 whereyohussleat u got hoes  werd  where ,0.0,0.0,1.0
 all i see in every iftheygunnedmedown tweet dis be like da colored brady bunch,0.172,0.0,0.828
 no need to thank me killing niggers is its own  dis my pal from our graduation when we was ,0.1,0.263,0.637
  no you  sorry i cant be straight like you and pull mad bitches ,0.0,0.706,0.294
   me  you dont even lift pussy,0.0,0.0,1.0
 half tempted to go outside and run my phone over with my car because its such a piece of shit  do it pussy,0.0,0.146,0.854
 is it too early to put your face in some  bul never to early for breakfast,0.0,0.0,1.0
 vernnotice what about the  a pussy he aint going anywhere,0.0,0.0,1.0
 i want my ears to look like this   i just want this bitches earrings lol ,0.385,0.225,0.39
 i dont take people niggas bitches dont play about they niggas  specially they baby daddies  bs,0.194,0.283,0.524
 i used to be that fat bitch everybody made fun of look at me  i was made fun of for being ugly ,0.222,0.239,0.539
  hoe,0.0,0.0,1.0
 if pussy is just pussy to you you a nasty ass nigga hope you get aids  bit harsh rethink that statement,0.1,0.346,0.554
 tonybthrz cinndyyxoxo briannniloo fuck me then  shut up and roll threw,0.0,0.259,0.741
 im not saying im for this but  studs will fuck trannys but wont let they bitch strap them down you muhfuckas childish ,0.134,0.246,0.62
 freemolly voiceofdstreetz  bitch i was fukkin wicha but fuck you nigga square  and im fucking with you ,0.0,0.338,0.662
 voiceofdstreetz knowing i can picture that hoe in my  he good now knocked the wind out that boy ,0.153,0.0,0.847
 voiceofdstreetz noll nigga im talm bout tt and juice   me too ion hoe em,0.0,0.0,1.0
 eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread  stopit,0.0,0.0,1.0
 thot bitches wanna be wined amp dined like a wife but dont know how to earn it ,0.096,0.135,0.769
 u hella gay u never  quit subbing fag,0.338,0.0,0.662
 imjessicaaaaa vintagemonroe haha bitch  ,0.341,0.432,0.227
 i think this hoe pressed or some shit  how many times we asked where they beok,0.0,0.205,0.795
 hoes do hoe ,0.0,0.0,1.0
 that new  song diana is well written well done  bow down bitch,0.247,0.224,0.529
 big oleeeee middle finger ,0.0,0.0,1.0
 when people complain to me about prices im just like bitch do i look like i make the ,0.215,0.27,0.515
 i hate that bitch amp the fact that oomf likes her just no  retweeettt ,0.13,0.451,0.419
 ginasanabria hes a hoe  arent they all smuts  lmao,0.358,0.0,0.642
 guys are hoes these days lmao dont fucking indirect me cause i can put you on  whos subbin ,0.196,0.0,0.804
  need to get laid  sike im celibatebitches be like ,0.238,0.0,0.762
  boot up  for u hoe  so girls that take bc are hoes ,0.0,0.0,1.0
 rico be bored then a  boy you watch me more than these hoes do,0.0,0.149,0.851
 rico full of  of money hoe,0.0,0.0,1.0
    men are the biggest hoes ,0.0,0.0,1.0
 there isnt one song on blacc hollywood i  except the song with nicki minaj because that triffling bitch sucks,0.0,0.283,0.717
 whatevaittakes yea ,0.0,0.0,1.0
 this bitch comes right in amp gets tooo comfortable  i never saw this yo my gut all out i hate ,0.128,0.291,0.581
 imyungjay  bitch ass nigga fuck you   lt these hoes aint got no manners realtalk,0.083,0.476,0.441
   swear they ,0.0,0.545,0.455
 whatevaittakes  a trust worthy ,0.861,0.0,0.139
 whatevaittakes its cute af  i believe u its jus getting pass trusting u wit a needle to someone ,0.322,0.0,0.678
 whatevaittakes lmaooo nooo  ,0.0,0.0,1.0
 my name is stefanie    u hoe ,0.0,0.0,1.0
 this bitch tried the wrong one  itll all go down hill from now ,0.0,0.385,0.615
 all people ever do on twitter is bitch get a mother fuckin ,0.0,0.275,0.725
 i could write a book on the things hoes  way jose,0.0,0.0,1.0
 wccorosen too bad the optimism i have for the royals you dont have for the twins take those roseie colored glasses off,0.135,0.135,0.731
 im driving myself ,0.0,0.0,1.0
 females get irritated fast  fuck them hoes,0.0,0.565,0.435
  lifeofbrandon bitch i called yu  the ,0.0,0.487,0.513
  well be  gt a job hoe,0.583,0.0,0.417
 he too rich to let that bitch get him mad like  niggas dont think at all,0.23,0.355,0.415
 grown mature pretty ampetc all that goes out the window when a bitch play with ,0.378,0.171,0.45
 is it me or does kim kardashian aint looking as good no  look better then these so called bad bitches,0.095,0.412,0.493
  a girl whos a hoe on twitter  lilthickgawdess,0.0,0.0,1.0
 how do you have a beautiful female and still find a way to fuck w ratchet hoes i dont get  ,0.182,0.164,0.654
  would love the parkside sport girls dressed like kobe all day  let me see  of them hoes,0.309,0.0,0.691
 this guy said hes slept with  girls oh ok let me puke  know a girl that had  dudes slutwhore not hoe,0.093,0.144,0.763
 every bitch tell me i act like a nigga whatever the fuck that ,0.14,0.41,0.449
 whatevaittakes lol the bitch not  its cool imma get one i jus trusted that more,0.272,0.266,0.462
 wagggggie ryanriehle  im not close to being your dude master  thats right bitch bow down to your master ,0.0,0.183,0.817
 i got hella ,0.0,0.0,1.0
 a nigga who gets alot of bitches is not gonna value you like someone else would youre just another one  cut that out,0.088,0.282,0.631
  luhv u  drunk bitch lol,0.28,0.62,0.1
 if youre going to talk shit about my sister dont play no pussy shit say it to her face yo  slapabitch ,0.067,0.328,0.604
 that one friend who you greet with an  morbidmermaid  niggers,0.407,0.0,0.593
 go text your other hoesme  ayostew,0.0,0.0,1.0
 on a scale of  this bitch is literally a  ,0.0,0.429,0.571
 this dude a fucking legend bruh fuck her right in the pussy lmao  true legendfuck her right in the pussy,0.253,0.142,0.605
 just seen  pregnant bitches  did the look like sumo wrestlers,0.174,0.271,0.556
 its my birthday  nobody cares bitch,0.278,0.352,0.37
 donny a  ,0.0,0.0,1.0
 im trynna find a bitch with a fat ,0.0,0.432,0.568
 lool i agree  the most fucked up show i ever watched was  wen simone wifed that hoe was the saddest,0.095,0.332,0.573
  just saw ashton hardly anyone cared waiting for harry   bitch id be all up in ashtons grill you feel,0.108,0.163,0.729
 when hoes feel like their photo didnt get enough favorites ,0.195,0.182,0.623
 i see so many mad hoes on the tl tht shit should be ,0.0,0.414,0.586
 shorty name is  masika and yall surprised she a ,0.213,0.0,0.787
 wifey means the pussy good right now but you gotta go in  ,0.151,0.0,0.849
 bro my birds stay having sex  its on a daily  said look ma no hands ,0.0,0.145,0.855
 tag a friend that sucks at flappy  me,0.299,0.234,0.467
 if you used the obamacare website you should definitely change your password  hahahahahah thats sad boon,0.136,0.157,0.707
 who clothes in the dryer im tryna dry my  them hoes out,0.0,0.0,1.0
  lmao  thats right  go drink some warm milk and go to bed,0.367,0.0,0.633
 bitch said i lie too much bitch you aint worth telling the truth ,0.118,0.474,0.409
 ready for another tat doeeee   me right hoe,0.263,0.0,0.737
 group chat bitches we call yall undercover feds  watching ,0.0,0.328,0.672
 whereyohussleat smh they gotta grow up  at least you know these bitches want to be you  i swear ,0.06,0.341,0.599
 when your ex hits you with that i miss you bullshit lol bitch  ,0.14,0.46,0.4
 that hoe gone jam  if you aint throwing ass bitch fuck out the party ,0.39,0.158,0.452
 imyungjay yo mama was confused when she had  lol  these hoes aint got no manners,0.247,0.121,0.632
 same hoes is still at it i shouldve ,0.0,0.0,1.0
 fuck i look like ho i look like yes and ya look like  ,0.518,0.178,0.305
 we raided nickis wig closet for the summer bad gals just wanna have fun  this bitch has the a nerve smh,0.111,0.348,0.541
 dont fall in love with a  bestadvice,0.0,0.402,0.598
 yall niggas think i just hang around your crib doing nothing bitch i be getting bread too  ,0.166,0.13,0.704
 the kimberley story is by far the scariest story ive ever heard  pussy,0.0,0.0,1.0
 waymoflydenu if fleek in yo vocabulary you a ,0.0,0.0,1.0
 fake bitches i dont want your ,0.0,0.804,0.196
 shine on them hoes  look at my baby daddy,0.0,0.0,1.0
 uceina i really hate poly  you and me both man,0.0,0.333,0.667
 i got   i got bitches,0.0,0.661,0.339
 i am not a bitch i am the bitch so that is ms bitch to you ,0.48,0.0,0.52
  of the female population needs to stop being such a ,0.0,0.216,0.784
  ya niggas play to fuck my niggas play for  bitches cant fuck wit me ,0.175,0.571,0.255
 this was hung in the boys bathroom  st dominic  outlawdipper silly bitches,0.073,0.26,0.667
 if you dont have your read receipts on you a  the bitchyest bitch ever,0.0,0.241,0.759
  dat bird  birdcage  byyyyyyrrrrrrrrrrrrr bitch ,0.0,0.487,0.513
 paperchaysin aye and when the hoes start coming dont forget who put you on  i wont  ,0.106,0.0,0.894
 paperchaysin you wont have to herd for hoes no more  lmao i hope not this shit schressful,0.42,0.09,0.49
 is hoe by association a real  yes,0.351,0.0,0.649
 yall be like  i want a love like rashad amp new new shit yall already got one lying about who you are ass hoes  ,0.292,0.292,0.417
 i cant talk right now i got pussy on my ,0.0,0.0,1.0
 uceina we single cuz only hoes are left all the good ones taken  female on the tl thats singleyou a ,0.139,0.0,0.861
 im only back cause i dont wanna see the boys lose to trash ,0.0,0.197,0.803
 in a relationship with the idea of   girls with trash love lives,0.296,0.0,0.704
 kmichelle my ananconda dont want none unless u clean those shitty buns hun ,0.0,0.44,0.56
 kmichelle shitty pussy ,0.0,0.643,0.357
 kmichelle ur pussy smell like dumpster juice  wow ,0.488,0.124,0.388
 kmichelle you mean the niggaz i shot ill give you  if u let any nigga smell your pussy and it dont smell like  ,0.0,0.205,0.795
 k michelle pussy smell like  ,0.455,0.0,0.545
 vertrellcarter  respect,0.756,0.0,0.244
 the fruit of the modern yankees farm system  joba the nut,0.0,0.0,1.0
 fat chance youll ever catch me drinking a  same bitches,0.155,0.302,0.543
 vomitdatruth im outside your house  this bitch,0.0,0.429,0.571
 vomitdatruth lmfaooooo u  im using that shit from now on,0.0,0.31,0.69
  wtf  why i aint come to practice,0.0,0.432,0.568
 never worried about the next bitch always worryin about the next meal im tryna fuckin eat fuck what you talkin  ,0.072,0.279,0.649
 uceina  damn i always be tweeting you halfassed tweets  i meant to say  still dont make ,0.0,0.172,0.828
 amp wealthy rt  my aunt said im handsome fuck you ,0.352,0.216,0.432
 i tend to have more sense that bitches older than me thats ,0.0,0.294,0.706
 do this hoe wanna fight  right,0.0,0.342,0.658
 what hoes do i have tbh on the highest of ,0.0,0.0,1.0
 why why why why why   aint kissing any bitch anytime soon,0.204,0.199,0.597
 blaxxxican for the light  pussies,0.0,0.0,1.0
 if you got netflix watch fresh that hoe  from now on my name is chuck e im not chuckie no more ,0.189,0.0,0.811
 essence fest  ill be there on the main stage  stepping with uncle charlie,0.0,0.189,0.811
 o u unfollowed me so i cant dm u so ill say it here youre a rude cunt  you can dm me,0.0,0.412,0.588
 i talk to any girl who paid over  for her sew in show me u atleast got some type of boss bitch in you  wth ,0.0,0.255,0.745
 cute text ey bitch come over for some ,0.234,0.297,0.469
 no one wants to see curvy women  karl  he retarded,0.0,0.424,0.576
 colts nationput yall money  chuassup we was just down ,0.0,0.0,1.0
 joedelawolfpack  this is me so badly hahahah  yall some pussies,0.0,0.307,0.693
 lol rt  if yo bitch dont read books or eat fruits she a ,0.169,0.229,0.602
 charlie strong will have texas back as a  better power of big  is anybodys now,0.341,0.0,0.659
 trap keep me fly thats why i love him   ayyyyy you got that hoe at forever  huh ,0.205,0.112,0.683
 all these bitches getting mommy  niggas too,0.0,0.558,0.442
 that   by drake is so trash  thank you ass water ,0.195,0.245,0.56
 if you already out of school fuck you i hate you and i hope you trip on the stage at graduation ,0.111,0.276,0.613
 i want affection  but i also want to be left alone  do you see the issue ,0.277,0.145,0.578
 show a lotta love to my sisters tho but these bitches so  im in trouble,0.114,0.406,0.48
 niggas swear they love a honest bitch tho   he salty bm,0.377,0.372,0.251
  urhighnesss  nah lemme chill i love the  like trick love the  amp you know this ,0.484,0.116,0.4
  nasty pay the bills ,0.0,0.714,0.286
 he told the bitch stop texting my phone my shawty crazy  he know ,0.0,0.457,0.543
 did that bitch from frozen ever let it  ,0.0,0.352,0.648
 so that history test made me its bitch  haha,0.217,0.275,0.507
 i just punched victoriaaokk in the nose on accident because she just shocked the crap out of me  bitch that hurt ,0.0,0.503,0.497
 car hopping is a different world these ghetto guys tried asking for my number  did they have to be ghetto tho ,0.064,0.0,0.936
 if you do tax fraud you bet not dare tweet about voting  of them tweeting they dont do politics,0.0,0.174,0.826
 them jew lawyers and doctors say nigga ran  they say shit like queer though,0.138,0.199,0.663
 why yall think its ok to be  and want us to be cool with them,0.326,0.0,0.674
 dudes out here will try and fuck ya bitch behind ya back and tell you she aint good for  its happend,0.0,0.35,0.65
 on the east coast theres colored hair everywhere this must be the sweetest wave  layaface,0.0,0.0,1.0
 b oreo a  thru ,0.0,0.0,1.0
 not one single bone in my body gives a fuck about what the next bitch thinks ,0.0,0.36,0.64
 savageater i think if my girlfriend were to get locked up shed be the first one rapedpussyreally  swerve,0.0,0.0,1.0
 dumb ass   me next ,0.0,0.773,0.227
 how do people even get crushes on me im like a total  ,0.174,0.201,0.625
 helenbabeey look at my benz bitch ive been the shit ,0.253,0.241,0.506
 cool story bitch now pass the   bitch,0.165,0.547,0.288
 this girl stress me out  ion even have no hoes  shit i be saying lol,0.131,0.402,0.467
 i feel sorry for anyone who paid for lic because edc is trash ,0.0,0.106,0.894
 queen latifah the only dyke id contemplate fucking ,0.0,0.0,1.0
 whattheflocka lol love you  little bitch,0.518,0.26,0.222
 when u want a cig but ur lovey gf wont go get them potato   guilt trip city lil bitch,0.05,0.341,0.609
 traded in my nikes for a new mic i guess its safe to say he sold soles for his new life  ,0.139,0.0,0.861
 is a time amp a place  decaf coffee never amp in the trash  mommymonday humor via jenerationpr amp theskimm,0.116,0.0,0.884
 best asian massage on the brooklyn park slope top rated spa    ,0.4,0.0,0.6
 best asian massage on the brooklyn park slope top rated spa    ,0.4,0.0,0.6
 best asian massage on the brooklyn park slope top rated spa    ,0.4,0.0,0.6
 best asian massage on the brooklyn park slope top rated spa    ,0.4,0.0,0.6
 best asian massage on the brooklyn park slope top rated spa    ,0.4,0.0,0.6
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 best asian massage on the park slope top rated spa     ,0.429,0.0,0.571
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 grand opening   top class  oriental massage  perfect  ,0.68,0.0,0.32
 why lie youre my nigguh ,0.0,0.0,1.0
 out bitch im winning  ,0.37,0.413,0.217
amp i most defiantly will not let no bitch who fw a nigga i already had get the best out of me  fuccin wit my handmedowns amp shit,0.271,0.107,0.622
amp i keep that bitch on me  its part of my fashion so nigga see me when you see me  catch me in traffic,0.0,0.147,0.853
amp these bitches bound to get hurt cause a lot of these niggas be playing,0.084,0.451,0.465
amp fuck your bitch,0.0,0.785,0.215
amp ion have a bitch so yeah whats understood dont need to be explained,0.162,0.215,0.623
amp my sister is really going to fucken deny it but yet sprays the room with febreeze  like really bitch why are you going to deny it,0.089,0.285,0.627
amp this bitch ask me why my jeans sag cuz they tryna hold my bandz up ,0.0,0.202,0.798
amp thots are wearing uggs rt  itsfallbecause negros are pulling out their timbs,0.0,0.0,1.0
ampamp some of you hoes too ,0.0,0.0,1.0
ampamp when tha bitches start hating  thats wen a bitch lost me ,0.0,0.655,0.345
ampamp hoes round here just opening legs like walmart doors,0.217,0.0,0.783
ampwhen they say him they mean dyke ron wcw ,0.0,0.0,1.0
gtmfw some rachet ass hoe drops some scripture or religious stuff on social media ,0.0,0.212,0.788
gtlt rt itstheboomshow fricknawesome metal monkey balls,0.0,0.0,1.0
ltltltltltltwhen bitches be doing too much on twitter,0.0,0.358,0.642
ltltltwhen its yellow outside,0.0,0.0,1.0
lt nudes are trash,0.0,0.0,1.0
 all jokes aside  im goin thru it a niggah heart hurt smh   ,0.127,0.363,0.51
 all the hoes loyal ,0.508,0.0,0.492
 and you know that i believe it  cause her pussy to mee  and she dont fuck with many niggahs  she dont fuck with any niggahs  ,0.206,0.0,0.794
 annnie say fuck that niggah  he soo weak   he cant tell that you a freak  that you aint lookin for love  ,0.0,0.442,0.558
 august alsina deserved that  my niggah ,0.0,0.0,1.0
 baby moanin got me zonenn  i want this bitch next too me pussy like ecstasy  ,0.347,0.203,0.45
 babyy moaaaanin  got me zonenn i want this bitch next to me  pussy like ecstasy  ,0.347,0.203,0.45
 beat the pussy up till its red like rosters and after i fuck i get to moovin like the hoovas  ,0.213,0.149,0.638
